com.samsung.health.exercise
time_offset,max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,mean_speed,mean_heart_rate,count_type,custom,end_time,count,min_altitude,max_speed,exercise_type,pkg_name,start_time,max_power,mean_power,min_heart_rate,calorie,comment,max_heart_rate,exercise_custom_type,mean_cadence
-14400000,,live_data.1.blob,,1199.99,,,,HhGX3b5ODm,933997,2017-05-10 10:27:23.856,f8873ef9-9488-4a0d-a469-c0b5104905ff,,,,,,,,2017-05-10 10:27:23.856,1.28479,,,,2017-05-10 10:19:37.000,,,1.6666666,1001,com.sec.android.app.shealth,2017-05-10 10:04:04.000,,,,76.85,,,,
-14400000,,live_data.2.blob,,,,,,dOU0jyvERH,1000488,2017-05-10 10:19:18.594,5e8ab542-95ea-2da7-a21b-7e8bd7b525b0,location_data.3.blob,,,,,,0.0,2017-05-10 10:19:18.594,,0.0,,,2017-05-10 10:17:38.240,,,,15006,com.sec.android.app.shealth,2017-05-10 10:00:57.752,,,0.0,139.179,,0.0,,0.0
-14400000,,live_data.4.blob,,871.15,,,,dOU0jyvERH,606084,2017-05-11 14:39:41.102,f5f106a8-f327-0ae1-c0d3-995c3286017e,location_data.5.blob,,,,,,0.0,2017-05-11 14:39:41.102,1.4562451,0.0,,,2017-05-11 14:38:40.876,,,1.5298789,1001,com.sec.android.app.shealth,2017-05-11 14:28:34.792,,,0.0,55.11,,0.0,,0.0
-14400000,,live_data.6.blob,,879.65,,,,dOU0jyvERH,699961,2017-05-11 14:54:35.818,15e6d151-0601-1c48-b1e9-98cf3f33c27e,location_data.7.blob,,,,,,0.0,2017-05-11 14:54:35.818,1.2994635,0.0,,,2017-05-11 14:53:35.508,,,1.5555556,1001,com.sec.android.app.shealth,2017-05-11 14:41:55.547,,,0.0,54.54,,0.0,,0.0
-14400000,,live_data.8.blob,,901.13,,,,dOU0jyvERH,906847,2017-05-12 10:03:35.492,6d2ec244-f9c5-ea1c-ba63-9d39a6bb4ae5,location_data.9.blob,,,,,,0.0,2017-05-12 10:03:35.492,1.2430204,0.0,,,2017-05-12 10:02:34.686,,,1.8611112,1001,com.sec.android.app.shealth,2017-05-12 09:47:27.839,,,0.0,60.58,,0.0,,0.0
-14400000,,live_data.10.blob,,3723.493,,,,dOU0jyvERH,1351529,2017-05-13 11:34:28.159,b8d61aa3-5cd7-db06-9121-29d055e6c55c,location_data.11.blob,0.0,,,0.0,0.505,178.21,2017-05-13 11:34:21.141,2.7550206,130.0,,,2017-05-13 11:34:20.899,,-4.465,3.88,1002,com.sec.android.app.shealth,2017-05-13 11:11:46.369,,,82.0,427.272,,151.0,,151.42838
-14400000,,live_data.12.blob,,1409.571,,,,dOU0jyvERH,1119768,2017-05-14 21:04:08.487,8b5adaa6-80f5-8821-0e12-ee6ab3dcf558,location_data.13.blob,,,,,,0.0,2017-05-14 21:04:08.487,1.3800281,0.0,,,2017-05-14 21:03:08.228,,,1.6944444,1001,com.sec.android.app.shealth,2017-05-14 20:44:28.460,,,0.0,93.18,,0.0,,0.0
-14400000,,live_data.14.blob,,3714.153,,,,dOU0jyvERH,1439119,2017-05-16 11:13:59.941,ebcf1a46-a892-cfaf-0ca3-ef7878d33ab9,location_data.15.blob,0.0,,,17.77,1.374,168.406,2017-05-16 11:13:56.770,2.5808501,220.0,,,2017-05-16 11:13:56.606,,-2.685,3.743,1002,com.sec.android.app.shealth,2017-05-16 10:49:53.998,,,204.0,461.847,,233.0,,151.75941
-14400000,,live_data.16.blob,,,,,,dOU0jyvERH,1195718,2017-05-17 10:20:17.715,7aa2b6ab-ba9b-54af-0e85-c2645e5b1fa2,location_data.17.blob,,,,,,0.0,2017-05-17 10:20:17.715,,0.0,,,2017-05-17 10:18:36.639,,,,15006,com.sec.android.app.shealth,2017-05-17 09:58:40.921,,,0.0,166.337,,0.0,,0.0
-14400000,,live_data.18.blob,,,,,,dOU0jyvERH,889894,2017-05-17 18:07:58.897,cafb9fac-4f24-d3cc-8f35-4c2cd7009b39,location_data.19.blob,,,,,,0.0,2017-05-17 18:07:58.897,,0.0,,,2017-05-17 18:06:56.911,,,,0,com.sec.android.app.shealth,2017-05-17 17:52:07.017,,,0.0,78.57,,0.0,,0.0
